"4a69964a-343d-47be-80c8-564074071394", 0,  MX_UNUSED_0
"ff216a28-58b1-4441-b94b-9ea5b4a3141c", 1,  MX_UNUSED_1
"3e480a9d-39ad-4577-a5e2-89c2c64f6012", 5,  MX_UNUSED_2
"3e8620ca-641f-4bcb-b539-4873ad02c762", 13, MX_SECRET
"754b55eb-54e2-41d4-ba5e-175e9c1d85b5", 28, MX_TR1_GYM_HINT_03
"74deecd3-a961-43ca-9a36-2d3e94a858eb", 29, MX_TR1_GYM_HINT_04
"2fdeb39c-7865-4feb-bcd1-9b77c3a5e369", 37, MX_TR1_GYM_HINT_12
"43ea9480-ee6e-43d5-ab6b-33caeb663462", 39, MX_TR1_GYM_HINT_14
"65eaa106-726e-4eda-98ed-45538fd00293", 40, MX_TR1_GYM_HINT_15
"75feb45c-01ff-4a26-beca-9ef3f3366d94", 41, MX_TR1_GYM_HINT_16
"788add79-4141-456b-a5d4-dc7129800ec0", 42, MX_TR1_GYM_HINT_17
"814c53c5-1326-48d6-a6af-253d270fa7b9", 43, MX_TR1_GYM_HINT_18
"0c81ac5f-f39b-4901-b8ee-3941217b50e7", 49, MX_TR1_GYM_HINT_24
"3bdcb60f-8f6d-4d02-a9cf-dd4f0a7dc388", 50, MX_TR1_GYM_HINT_25
"c23924e5-a119-4fd2-9b54-e638a6326261", 51, MX_BALDY_SPEECH
"5cf60b3d-2cd1-4cc2-bd46-21dcfb4aceca", 52, MX_COWBOY_SPEECH
"243b4dc6-2a72-41df-876d-3bdc7d9711cf", 53, MX_LARSON_SPEECH
"6fa2d4b7-ef5f-4cc6-8f26-21765a6afb89", 54, MX_NATLA_SPEECH
"d8266802-295a-437b-849d-c7fa98b82129", 55, MX_PIERRE_SPEECH
"1c4f9bbe-5fa1-4848-8b87-51bd2d58d7b5", 56, MX_SKATEKID_SPEECH
