2,   SFX_LARA_NO
6,   SFX_LARA_DRAW
7,   SFX_LARA_HOLSTER
8,   SFX_LARA_PISTOLS
9,   SFX_LARA_RELOAD
10,  SFX_LARA_RICOCHET
11,  SFX_LARA_FLARE_IGNITE
12,  SFX_LARA_FLARE_BURN
21,  SFX_LARA_MAGNUMS
24,  SFX_MASSIVE_CRASH
27,  SFX_LARA_BODYSL
30,  SFX_LARA_FALL
31,  SFX_LARA_INJURY
36,  SFX_LARA_BREATH
37,  SFX_LARA_BUBBLES
39,  SFX_LARA_KEY
43,  SFX_LARA_UZI_FIRE
45,  SFX_LARA_SHOTGUN
48,  SFX_CLICK
50,  SFX_LARA_BULLETHIT
58,  SFX_GLASS_BREAK
60,  SFX_UNDERWATER
71,  SFX_ENEMY_HIT_1
72,  SFX_ENEMY_HIT_2
78,  SFX_M16_FIRE
79,  SFX_WATERFALL_LOOP
104, SFX_M16_STOP
105, SFX_EXPLOSION_1
108, SFX_MENU_ROTATE
109, SFX_MENU_LARA_HOME
111, SFX_MENU_SPININ
112, SFX_MENU_SPINOUT
113, SFX_MENU_STOPWATCH
114, SFX_MENU_GUNS
115, SFX_MENU_PASSPORT
116, SFX_MENU_MEDI
147, SFX_ROLLING_BALL
149, SFX_SANDBAG_HIT
150, SFX_LOOP_FOR_SMALL_FIRES
153, SFX_SKIDOO_IDLE
155, SFX_SKIDOO_MOVING
190, SFX_PULLEY_CRANE
191, SFX_CURTAIN
195, SFX_BOAT_IDLE
197, SFX_BOAT_MOVING
201, SFX_CLATTER_1
202, SFX_CLATTER_2
203, SFX_CLATTER_3
204, SFX_DOOR_SLIDE
205, SFX_LARA_FLESH_WOUND
206, SFX_SAW_REVVING
207, SFX_SAW_STOP
208, SFX_DOOR_CHIME
213, SFX_AIRPLANE_IDLE
215, SFX_UNDERWATER_FAN_ON
217, SFX_SMALL_FAN_ON
222, SFX_SNOWBALL_ROLL
223, SFX_SNOWBALL_STOP
227, SFX_ROLLING_2
228, SFX_ROLLING_2_HIT
231, SFX_ROLLING_BLADE
245, SFX_MONK_CRUNCH
254, SFX_DARTS
258, SFX_DARTS_HIT
278, SFX_CHAIN_PULLEY
280, SFX_ZIPLINE_GO
281, SFX_ZIPLINE_STOP
284, SFX_BOWL_POUR
285, SFX_WATERFALL_2
297, SFX_HELICOPTER_LOOP
298, SFX_DRAGON_FEET
305, SFX_DRAGON_FIRE
312, SFX_WARRIOR_HOVER
316, SFX_BIRDS_CHIRP
317, SFX_CRUNCH_1
318, SFX_CRUNCH_2
325, SFX_T_REX_STOMP
329, SFX_DRIPS_REVERB
330, SFX_STAGE_BACKDROP
331, SFX_STONE_DOOR_SLIDE
332, SFX_PLATFORM_ALARM
334, SFX_DOORBELL
335, SFX_BURGLAR_ALARM
336, SFX_BOAT_ENGINE
337, SFX_BOAT_INTO_WATER
338, SFX_BOILER
341, SFX_MARCO_BARTOLLI_TRANSFORM
344, SFX_WINSTON_GRUNT_1
345, SFX_WINSTON_GRUNT_2
346, SFX_WINSTON_GRUNT_3
347, SFX_WINSTON_CUPS
348, SFX_BRITTLE_GROUND_BREAK
349, SFX_SPIDER_EXPLODE
